구별,소계,인구수,한국인,외국인,고령자,외국인비율,고령자비율
강남구,3238,544257,3449,4261,4636,0.7829021951026813,0.8518034678469915
강남구,3238,260599,1696,2181,2396,0.8369180234766826,0.9194202587116604
강남구,3238,283658,1753,2080,2240,0.7332773974292986,0.7896833510777062
강동구,1010,430705,3235,3178,3320,0.7378600201994404,0.7708292218571876
강동구,1010,213528,1673,1642,1688,0.7689858004570829,0.7905286426136151
강동구,1010,217177,1562,1536,1632,0.7072572141617206,0.7514607900468282
강북구,831,320576,1896,2045,2044,0.6379142543421841,0.6376023158315033
강북구,831,156829,941,1092,1042,0.6962997914926449,0.6644179329078168
강북구,831,163747,955,953,1002,0.581995395335487,0.6119196076874691
강서구,911,598416,5142,4922,4325,0.8225047458624102,0.7227413705515895
강서구,911,290908,2634,2475,2234,0.8507844404416517,0.7679403797764242
강서구,911,307508,2508,2447,2091,0.7957516552414896,0.6799823094033326
관악구,2109,503956,2891,2848,2655,0.5651287017120542,0.5268317075300225
관악구,2109,253377,1458,1430,1379,0.5643764035409686,0.544248294044053
관악구,2109,250579,1433,1418,1276,0.5658894001492544,0.5092206449862119
광진구,878,355032,2333,2395,2304,0.6745870794745262,0.6489555871020077
광진구,878,172678,1205,1233,1194,0.7140457962218696,0.6914604060737326
광진구,878,182354,1128,1162,1110,0.6372221064522852,0.6087061429965891
구로구,1884,406144,3261,3356,3084,0.8263079104947999,0.7593365899779388
구로구,1884,201362,1698,1684,1569,0.8363047645533914,0.7791936909645315
구로구,1884,204782,1563,1672,1515,0.8164780107626647,0.7398111162113857
금천구,1348,232760,1538,1449,1402,0.6225296442687747,0.602337171335281
금천구,1348,118311,803,731,722,0.6178630896535402,0.6102560201502819
금천구,1348,114449,735,718,680,0.6273536684462074,0.5941511066064361
노원구,1566,546911,3702,3947,4393,0.721689635059452,0.8032385525249995
노원구,1566,265555,1924,2015,2214,0.75878819830167,0.8337255935681874
노원구,1566,281356,1778,1932,2179,0.6866745333314378,0.7744636688039352
도봉구,825,340876,2209,2299,2389,0.6744387988594093,0.7008413616681727
도봉구,825,166926,1123,1202,1235,0.7200795562105364,0.7398487952745528
도봉구,825,173950,1086,1097,1154,0.6306409887898821,0.6634090255820637
동대문구,1870,350556,2415,2448,2237,0.6983192414336082,0.6381291434178847
동대문구,1870,174863,1252,1278,1134,0.7308578715909027,0.6485076888764347
동대문구,1870,175693,1163,1170,1103,0.6659343286300535,0.6277996277597855
동작구,1302,395513,2877,2906,2774,0.7347419680263354,0.7013675909514985
동작구,1302,192523,1461,1478,1422,0.7677004825397485,0.7386130488305294
동작구,1302,202990,1416,1428,1352,0.7034829301936056,0.6660426622001084
마포구,980,374106,2935,2761,2762,0.7380261209389851,0.7382934248581953
마포구,980,177973,1498,1378,1439,0.7742747495406607,0.8085496114579177
마포구,980,196133,1437,1383,1323,0.7051337612742373,0.6745422748848995
서대문구,1254,310584,2197,2146,2200,0.6909563918295856,0.7083429925559591
서대문구,1254,149728,1121,1106,1108,0.7386727933319085,0.7400085488352212
서대문구,1254,160856,1076,1040,1092,0.6465410056199333,0.67886805590093
서초구,2297,437407,3280,4116,4240,0.9410000297206034,0.9693489130260833
서초구,2297,209418,1624,2128,2169,1.0161495191435312,1.035727587886428
서초구,2297,227989,1656,1988,2071,0.871971893380821,0.908377158547123
성동구,1327,309251,2549,2425,1993,0.7841526785685414,0.6444603251080838
성동구,1327,152006,1285,1230,1021,0.809178585055853,0.6716840124731919
성동구,1327,157245,1264,1195,972,0.7599605710833413,0.6181436611656969
성북구,1651,438031,3072,3300,3412,0.7533713367318752,0.778940303311866
성북구,1651,213159,1559,1639,1767,0.7689095933082816,0.8289586646587759
성북구,1651,224872,1513,1661,1645,0.7386424276921982,0.731527268846277
송파구,1081,666892,5589,5476,5506,0.8211224606083143,0.8256209401222387
송파구,1081,323832,2901,2807,2793,0.8668074804219472,0.8624842510931594
송파구,1081,343060,2688,2669,2713,0.777998017839445,0.7908237626071242
양천구,2482,466121,3151,3617,4320,0.7759787694611485,0.926797977349229
양천구,2482,229619,1588,1859,2254,0.809601992866444,0.9816260849494163
양천구,2482,236502,1563,1758,2066,0.7433340944262627,0.8735655512426956
영등포구,1277,368577,3000,2658,2332,0.7211518895644601,0.6327036141701734
영등포구,1277,183471,1531,1358,1203,0.7401714712406865,0.6556894550092386
영등포구,1277,185106,1469,1300,1129,0.7023003036098235,0.6099208021349929
용산구,2096,229391,1533,1570,1444,0.6844209232271536,0.6294928746114713
용산구,2096,110861,811,801,693,0.7225264069420265,0.6251071161183824
용산구,2096,118530,722,769,751,0.6487808993503754,0.6335948704969206
은평구,2108,483417,3271,3443,3620,0.7122215395817689,0.7488358911664257
은평구,2108,234119,1670,1804,1851,0.7705483109017209,0.7906235717733289
은평구,2108,249298,1601,1639,1769,0.6574461086731542,0.7095925358406405
종로구,1619,153396,841,902,960,0.5880205481238102,0.6258311820386451
종로구,1619,75024,430,463,495,0.6171358498613777,0.6597888675623801
종로구,1619,78372,411,439,465,0.5601490328178431,0.5933241463788087
중구,1023,125815,867,768,678,0.6104200612009697,0.538886460278981
중구,1023,62063,454,395,331,0.636450058811208,0.5333290366240756
중구,1023,63752,413,373,347,0.5850796837746266,0.5442966495168778
중랑구,916,404313,2726,2746,2575,0.6791767764083767,0.6368828110894282
중랑구,916,201089,1377,1407,1294,0.6996901869321545,0.6434961633903397
중랑구,916,203224,1349,1339,1281,0.6588788725741054,0.6303389363461008
